,source_id,member_id,experiment_id,table_id,variable_id
116,CNRM-CM6-1,r1i1p1f2,1pctCO2,Omon,mlotst
117,FGOALS-g3,r1i1p1f1,piControl,Omon,tos
118,MRI-ESM2-0,r5i1p1f1,abrupt-4xCO2,Omon,tos
119,AWI-CM-1-1-MR,r1i1p1f1,1pctCO2,Amon,rsdt
120,MRI-ESM2-0,r9i1p1f1,abrupt-4xCO2,Omon,tos
121,CESM2-WACCM-FV2,r1i1p1f1,1pctCO2,Omon,mlotst
122,MRI-ESM2-0,r8i1p1f1,abrupt-4xCO2,Omon,mlotst
123,IPSL-CM6A-LR,r5i1p1f1,abrupt-4xCO2,Amon,rtmt
124,EC-Earth3-Veg,r1i1p1f1,abrupt-4xCO2,Omon,mlotst
125,CanESM5,r3i1p2f1,1pctCO2,Omon,mlotst
126,GISS-E2-1-G,r1i1p1f1,1pctCO2,Amon,rtmt
127,MPI-ESM1-2-LR,r1i1p1f1,1pctCO2,Omon,tos
128,MRI-ESM2-0,r1i2p1f1,piControl,Omon,tos
129,IPSL-CM6A-LR,r4i1p1f1,abrupt-4xCO2,Omon,mlotst
130,E3SM-1-0,r1i1p1f1,1pctCO2,Amon,rtmt
131,CESM2-WACCM-FV2,r1i1p1f1,1pctCO2,Omon,tos
132,ACCESS-CM2,r1i1p1f1,abrupt-4xCO2,Omon,mlotst
133,CNRM-ESM2-1,r1i1p1f2,abrupt-4xCO2,Omon,mlotst
134,CESM2-WACCM,r1i1p1f1,abrupt-4xCO2,Amon,rtmt
135,FGOALS-f3-L,r3i1p1f1,1pctCO2,Omon,tos
136,CNRM-CM6-1,r6i1p1f2,abrupt-4xCO2,Omon,mlotst
137,CESM2,r1i1p1f1,1pctCO2,Omon,mlotst
138,CAS-ESM2-0,r1i1p1f1,1pctCO2,Amon,rsdt
139,CAS-ESM2-0,r1i1p1f1,abrupt-4xCO2,Omon,tos
140,GISS-E2-1-G,r1i1p1f3,abrupt-4xCO2,Amon,rtmt
141,FGOALS-f3-L,r3i1p1f1,1pctCO2,Amon,rsut
142,NorCPM1,r1i1p1f1,1pctCO2,Amon,rtmt
143,GISS-E2-1-G,r1i1p3f1,abrupt-4xCO2,Omon,tos
144,FGOALS-f3-L,r2i1p1f1,abrupt-4xCO2,Amon,rlut
145,FGOALS-f3-L,r3i1p1f1,abrupt-4xCO2,Omon,tos
146,NorESM2-MM,r1i1p1f1,abrupt-4xCO2,Amon,rtmt
